package, lloc, roslloc, sep
cob_base_velocity_smoother, 165, 10, 0.0484848484848
cob_collision_velocity_filter, 329, 45, 0.0607902735562
cob_footprint_observer, 171, 20, 0.0760233918129
cob_3d_fov_segmentation, 234, 16, 0.0555555555556
cob_read_text, 1175, 13, 0.00765957446809
cob_marker, 275, 29, 0.0727272727273
cob_kuka_rsi, 236, 23, 0.0508474576271
cob_kinematics, 204, 23, 0.0343137254902
cob_linear_nav, 226, 48, 0.0309734513274
cob_trajectory_controller, 604, 36, 0.023178807947
cob_sick_s300, 463, 48, 0.0583153347732
cob_phidgets, 88, 10, 0.0795454545455
cob_voltage_control, 98, 18, 0.0510204081633
